2026-02-19 18:25:10 | INFO     | voice.tts | COQUI_TOS_AGREED=1 habilitado para inicializacion no interactiva de XTTS.
2026-02-19 18:25:10 | INFO     | voice.tts | Loading XTTS model 'tts_models/multilingual/multi-dataset/xtts_v2' on CPU...
2026-02-19 18:25:10 | INFO     | TTS.utils.manage | tts_models/multilingual/multi-dataset/xtts_v2 is already downloaded.
2026-02-19 18:25:10 | INFO     | TTS.tts.models | Using model: xtts
2026-02-19 18:25:29 | INFO     | voice.audio_utils | Input probe index=1 rms=195.28
2026-02-19 18:25:29 | INFO     | voice.audio_utils | Input probe index=5 rms=2195.77
2026-02-19 18:25:29 | INFO     | voice.audio_utils | Input probe index=0 rms=0.54
2026-02-19 18:25:30 | INFO     | voice.audio_utils | Input probe index=4 rms=43.90
2026-02-19 18:25:30 | INFO     | jarvis.main | Input audio device selected: index=5, name=Varios micrÃ³fonos (IntelÂ® Smart Sound Technology for Digital Microphones)
2026-02-19 18:25:30 | INFO     | jarvis.main | Microphone check OK (rms=39.45)
2026-02-19 18:25:30 | INFO     | voice.stt | Loading faster-whisper model 'small' on cpu (int8)...
2026-02-19 18:25:32 | INFO     | voice.wake_word | Wake word listener started.
2026-02-19 18:25:32 | INFO     | voice.wake_word | Wake listener using index=5, name=Varios micrÃ³fonos (IntelÂ® Smart Sound Technology for Digital Microphones)
2026-02-19 18:25:34 | INFO     | jarvis.main | Jarvis listo. Esperando wake word...
2026-02-19 18:25:36 | INFO     | voice.wake_word | Wake score peak=0.007 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:25:40 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:25:44 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:25:48 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:25:52 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=17143.4
2026-02-19 18:25:56 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:26:00 | INFO     | voice.wake_word | Wake score peak=0.004 current=0.000 threshold=0.120 soft_threshold=0.072 rms=20118.4
2026-02-19 18:26:04 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10440.3
2026-02-19 18:26:08 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:26:12 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=20118.4
2026-02-19 18:26:16 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:26:20 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10440.3
2026-02-19 18:26:24 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10885.6
2026-02-19 18:26:28 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=20118.4
2026-02-19 18:26:32 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10885.6
2026-02-19 18:26:36 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:26:40 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10440.3
2026-02-19 18:26:44 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=20118.4
2026-02-19 18:26:48 | INFO     | voice.wake_word | Wake score peak=0.003 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10885.6
